id,title,set_poster_by_filename,released,length,description
402,"Fantastic Four 2: Rise of the Silver Sur",fantasticfour2riseofthesilversur.jpg,2007-06-15,92,"With Von Doom back in his homeland of Latveria the fantastic four have new troubles when Galactus has decided that Earth is his next target. When his henchman, The Silver Surfer, is sent to Earth he discovers that he's getting more than he bargained for when he encounters the Fantastic Four. But that's not all when Dr. Doom decides that after two years in the homeland he is ready to return."
403,Fracture,fracture.jpg,2007-04-20,113,"Wealthy, brilliant, and meticulous Ted Crawford, a structural engineer in Los Angeles, shoots his wife and entraps her lover. He signs a confession; at the arraignment, he asserts his rights to represent himself and asks the court to move immediately to trial. The prosecutor is Willy Beachum, a hotshot who's soon to join a fancy civil-law firm, told by everyone it's an open and shut case. Crawford sees Beachum's weakness, the hairline fracture of his character: Willy's a winner. The engineer sets in motion a clockwork crime with all the objects moving in ways he predicts."
404,"Jeff Dunham: Arguing with Myself",jeffdunhamarguingwithmyself.jpg,2006-04-11,76,"Breathing life into an elderly curmudgeon, a purple human-like creature from the Micronesian islands, and a self-effacing talking jalapeno on a stick, Jeff Dunham is straight man to some of the funniest partners in show business! His comedic skill and impeccable technique serve as slight of hand however, drawing attention away from the fact that Dunham is a ventriloquist extraordinaire."
405,"On the Waterfront",onthewaterfront.jpg,1954-08-06,108,"Terry Malloy dreams about being a prize fighter, while tending his pigeons and running errands at the docks for Johnny Friendly, the corrupt boss of the dockers union. Terry witnesses a murder by two of Johnny's thugs, and later meets the dead man's sister and feels responsible for his death. She introduces him to Father Barry, who tries to force him to provide information for the courts that will smash the dock racketeers."
406,"National Lampoons Senior Trip",nationallampoonsseniortrip.jpg,1995-09-08,91,"At Fairmont High School in Columbus, Ohio, a debauched group of kids rule over the school, led by stoners Mark 'Dags' D'agastino and Reggie Barry, who preach partying over education. When Dags and Reggie, along with a small assorted group of kids are caught cutting school and throwing a house party in the whinny and incompetent Principal Moss' house, they are put into detention where they are asked to write a letter to the President of the USA on the problems with education. Yet, only the school 'braniac' Lisa Perkins writes it and mails it where it's a hit with the President who invites them to Washington on a field trip to speak against education reforms. With Principal Moss and the new keyboarding teacher, Miss Milford, chaperoning them, Dags and Reggie, along with Lisa, shy stoner Wanda, school tramp Carla, king geek Virus, biker chick Meg, quiet poet Herbert, narc Steve, and the 'stupid fat kid' Miosky, take a eventual bus trip to Washington... if they can ever get there."
407,"Surfs Up",surfsup.jpg,2007-06-08,85,"This story follows a teenage rock hopper penguin named Cody Maverick from his hometown of Shiverpool, Antarctica, where all of the other penguins think he's nothing but a surfing fool, to the ""Big Z Memorial Surf Off"" on Pen Gu Island. Young Cody is determined to win the most important competition in the world of penguin surfing in honor of ""Big Z,"" a deceased surfing legend whom he has idolized since childhood. But the waves in Pen Gu are different than in Shiverpool, and the competition is steep. The current champ, egotistical Tank Evans, isn't just about to let this little penguin knock him from first place without a fight. When Cody wipes out and encounters Geek, a recluse aging former surfer, living in the jungle, he learns some important lessons about life and surfing, and even teaches Geek a thing or two."
408,"Ice Harvest, The",iceharvestthe.jpg,2005-11-23,88,"Larceny, lust and lethal behavior. In icebound Wichita, Kansas, it's Christmas Eve, and this year Charlie Arglist just might have something to celebrate. Charlie, an attorney for the sleazy businesses of Wichita, and his unsavory associate, the steely Vic Cavanaugh have just successfully embezzled $2 million from Kansas City boss Bill Guerrard. But the real prize for Charlie is the stunning Renata, who runs the Sweet Cage strip club. Charlie hopes to slip out of town with Renata. But as daylight fades and an ice storm whirls, everyone from Charlie's drinking buddy Pete Van Heuten to the local police begin to wonder just what exactly is in Charlie's Christmas stocking - and the 12 hours of Christmas Eve are filled with surprises."
409,Transformers,transformers.jpg,2007-07-03,144,"A long time ago, far away on the planet of Cybertron, an alien civil war was being waged between the two races of robots the noble hero Autobots led by the wise Optimus Prime and the devious evil Decepticons commanded by the dreaded Megatron for control over the Allspark, a mystical talisman that would grant unlimited power to whoever possessed it. When the Autobots managed to smuggle the Allspark off the planet, but Megatron blasted off in search of it. He eventually tracked it to the planet of Earth circa 1850, but his reckless desire for power sent him right into the Arctic Ocean, and the sheer cold forced him into a paralyzed state. His body was later found by Captain Archibald Witwicky, and before going into a comatose state Megatron used the last of his energy to engrave a map, showing the location of the Allspark, into the Captain's glasses, and send a transmission to Cybertron. But now the Earth is caught in the middle of an intergalactic war between the Autobots and the evil Decepticons, which are able to change into a variety of objects, including cars, trucks, planes and other technological creations. Meanwhile a century later, at school a teenager named Sam Witwicky, (nicknamed Spike by his friends,) buys his new car (who is actually one of the Autobots named Bumblebee) after when he promised his dad that he would pass his test. The two robots seeking the cube Allspark with opposite intentions: the Autobots intend to protect the human beings, while the Deceptions want to destroy them. But unfortunately the ultimate power is held by Sam for mankind in the extraordinary adventure."
410,"An Inconvenient Truth",aninconvenienttruth.jpg,2006-08-31,100,"Director Davis Guggenheim eloquently weaves the science of global warming with Mr. Gore's personal history and lifelong commitment to reversing the effects of global climate change.? A longtime advocate for the environment, Gore presents a wide array of facts and information in a thoughtful and compelling way.? ""Al Gore strips his presentations of politics, laying out the facts for the audience to draw their own conclusions in a charming, funny and engaging style, and by the end has everyone on the edge of their seats, gripped by his haunting message,"" said Guggenheim.? An Inconvenient Truth is not a story of despair but rather a rallying cry to protect the one earth we all share.? ""It is now clear that we face a deepening global climate crisis that requires us to act boldly, quickly, and wisely,"" said Gore. ?"
411,1408,1408.jpg,2007-06-22,104,"The cynical and skeptical writer Mike Enslin writes books evaluating supernatural phenomena in hotels, graveyards and other haunted places, usually debunking the mystery. While writing his last book, he travels from Los Angeles to New York to spend one night in the evil room 1408 of the Dolphin Hotel, which is permanently unavailable for guests. The reluctant manager Mr. Gerald Olin objects to his request and offers an upgrade, expensive booze and finally the reports relating the death of more than fifty guests along decades in the cursed room. However, Mike threatens Mr. Oiln, promising to sue the hotel, and finally checks in the room. Along the night, he finds that guests of room 1408 can check out when they like, but they can never leave the room alive."
412,"Eight Days a Week",eightdaysaweek.jpg,1999-02-26,92,"Peter loves his next door neighbour Erica and, on the advice of his grandfather, decides to camp out on her front lawn for the entire summer, or until she agrees to go out with him. His father is none too happy about the idea and refuses to let his son back in the house, even to get a change of clothes. Peter's friend, Matt, thinks Peter should give up on women (like he has) and just have sex with fruit, and have a total devotion to masterbation."
413,"Bob Saget: That Ain't Right",bobsagetthataintright.jpg,2007-08-25,60,"Bob Saget does a one hour stand up special. "
414,Sherrybaby,sherrybaby.jpg,2006-09-08,96,"Sherry Swanson returns home to New Jersey after serving a three year prison sentence. Eager to reestablish a relationship with her young daughter, Sherry soon discovers that coming back to the world she left behind is far more difficult than she had planned."
415,"Spiderman 3",spiderman3.jpg,2007-05-04,139,"Peter Parker has finally managed to piece together the once-broken parts of his life, maintaining a balance between his relationship with Mary-Jane and his responsibility as Spider-Man. But more challenges arise for our young hero. Peter's old friend Harry Obsourne has set out for revenge against Peter; taking up the mantle of his late father's persona as The New Goblin, and Peter must also capture Uncle Ben's real killer, Flint Marko, who has been transformed into his toughest foe yet, the Sandman. All hope seems lost when suddenly Peter's suit turns jet-black and greatly amplifies his powers. But it also begins to greatly amplify the much darker qualities of Peter's personality that he begins to lose himself to. Peter has to reach deep inside himself to free the compassionate hero he used to be if he is to ever conquer the darkness within and face not only his greatest enemies, but also...himself."
416,"License to Wed",licensetowed.jpg,2007-07-03,91,"Sadie and Ben are in love, and although Ben suggests getting married in the Caribbean, Sadie has her heart set on a wedding at the family church, St. Augustine's. Ben says sure, and they meet with the pastor, Rev. Frank. The only date open for two years is three weeks away, and Frank insists the kids go through his marriage prep course. They're to write their own vows; he also demands chastity, bugs their apartment, initiates arguments, has them care for robot twins, creates friction between Ben and her family, and raises doubts in Sadie. Desperate, Ben looks for dirt on Frank. Can he undermine Frank's authority and keep Sadie's heart?"
417,Sicko,sicko.jpg,2007-06-22,123,"In this documentary, the director/writer Michael Moore exposes the dysfunctional North American health care system, oriented to huge profits and not for their mission of saving lives. Further, he shows the corruption in the political system, with members of government and congress ""bought"" by the corporations and the situation of the average American citizens, including those that volunteered to work in the rescue mission of the September 11th. Then he travels to Canada, Great Britain and France to compare their systems showing their hospital, doctors, staffs and patients. Last but not the least, he shows that the prisoners in Guantanamo have better medical treatment than the common people in USA, and he ends getting free treatment to the Americans that participate along the documentary in Cuba."
418,"What's Eating Gilbert Grape",whatseatinggilbertgrape.jpg,1993-12-25,118,"What's Eating Gibert Grape is a beautifully shot movie of tenderness, caring and self-awareness that is set amongst the fictional working class one street town Endora. Centred around the Grape family Ellen and Amy and their two brothers Arnie and Gilbert, who, along with their morbidly obese widowed mother Bonnie Grape are striving to survive and coexist with the absence of a father figure, low wage work and seventeen-year-old Arnie's severe mental condition. It is in this awkward and extremely one sided affair that the unfortunate Gilbert has to constantly, while working for the town's slowly dying Convenience Store, take care of his younger brother Arnie. Gilbert's life, his future, is thwarted he know this, but it is in this Guardian Angel that his love and bond for Arnie cannot, and will not, be let go. That is until the free spirit of Becky arrives in town, and with her grandmother are stranded for the week while waiting for parts for their vehicle. This realization unties new feelings, new thoughts and new hope for the put upon Gibert, something new is eating Gilbert Grape."
419,"I Now Pronounce You Chuck and Larry",inowpronounceyouchuckandlarry.jpg,2007-07-20,110,"Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits."
420,"Ocean's Thirteen",oceansthirteen.jpg,2007-06-08,122,"The last time we saw Danny Ocean's crew, they were paying back ruthless casino mogul Terry Benedict after stealing millions from him. However, it's been a while since they've come back together, which is all about to change. When one of their own, Reuben Tishkoff builds a hotel with known casino owner Willy Banks, the last thing he ever wanted was to get cut out of the deal personally by the loathsome Banks. Banks' attitude even goes so far as to finding the amusement in Tishkoff's misfortune when the double crossing lands Reuben in the hospital because of a heart attack. However, Danny and his crew won't stand for Banks and what he's done to a friend. Uniting with their old enemy Benedict, who himself has a vendetta against Banks, the crew is out to pull off a major plan. One that will unfold on the night Banks' newest hot spot opens up, when the crew is out to bankrupt one of the city's most despised businessmen. But they're not in this for the money, but for the revenge."
421,"Forrest Gump",forrestgump.jpg,1994-07-06,142,"Forrest, Forrest Gump is a simple man with little brain activity but good intentions. He struggles through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, starts a table tennis craze, creates a famous shrimp fishing fleet, inspires people to jog, create the smiley, write bumper stickers and songs, donating to people and meeting the president several times. However this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny. Who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone."
422,"Run Ronnie Run",runronnierun.jpg,2004-06-01,86,"Run Ronnie Run is a heart warming spin-off from the cult hit HBO series ""Mr. Show"". It is the story of Ronwell Quincy Dobbs (David Cross), who has a unique talent for getting arrest. A British television personality, Terry Twillstein (Bob Odenkirk), gets sight of Ronnie and brings Ronnie to Hollywood to get him his own TV show. Ronnie must then deal with his new life, while having to deal with missing his ex-wife that he left back home. This is a delightful comedy with countless celebrity cameos by Dave Foley, Jeff Goldblum, and Jack Black just to name a few. As well as many appearances by characters for the hit television series ""Mr. Show""."
423,"Live Free Die Hard",livefreediehard.jpg,2007-06-27,130,"When someone hacks into the computers at the FBI's Cyber Crime Division; the Director decides to round up all the hackers who could have done this. When he's told that because it's the 4th of July most of their agents are not around so they might have trouble getting people to get the hackers. So he instructs them to get local PD'S to take care of it. And one of the cops they ask is John McClane who is tasked with bringing a hacker named Farrell to the FBI. But as soon as he gets there someone starts shooting at them. McClane manages to get them out but they're still being pursued. And it's just when McClane arrives in Washington that the whole system breaks down and chaos ensues."
424,Superbad,superbad.jpg,2007-08-17,114,"Seth and Evan are best friends, inseparable, navigating the last weeks of high school. Usually shunned by the popular kids, Seth and Evan luck into an invitation to a party, and spend a long day, with the help of their nerdy friend Fogell, trying to score enough alcohol to lubricate the party and inebriate two girls, Jules and Becca, so they can kick-start their sex lives and go off to college with a summer full of experience and new skills. Their quest is complicated by Fogell's falling in with two inept cops who both slow and assist the plan. If they do get the liquor to the party, what then? Is sex the only rite of passage at hand?"
425,Rounders,rounders.jpg,1998-09-11,121,"A young man (Damon) is a reformed gambler who must return to playing big stakes poker to help a friend pay off loan sharks."
426,"Gabriel Iglesias: Hot & Fluffy",gabrieliglesiashotampfluffy.jpg,2007-08-04,60,"Gabriel Iglesias is one of the fastest-rising comics today! With his unique brand of humor, lovable stage presence and wide range of voices and impressions, it's no wonder that he already has a huge fan following. He's been seen on Last Comic Standing, The Tonight Show with Jay Leno and Jimmy Kimmel Live!, and now you can see Comedy Central's ""Comic of the Year"" in his sold-out performance at the historic Fox Theatre in Bakersfield, California!"
427,"Mr. Brooks",mrbrooks.jpg,2007-06-01,120,"Earl Brooks is a highly respected businessman and was recently named Portland's Man of the Year. He hides a terrible secret however: he is a serial killer known as the Fingerprint Killer. He has been attending AA meetings and has kept his addiction to killing under control for two years now but his alter ego, Marshall, has re-appeared and is pushing him to kill again. When he does kill a couple while they are making love, he is seen and photographed by someone who also his own death and murder fetish. In a parallel story, the police detective investigating the murder is having problems of her own. She is going through a messy divorce and a violent criminal who had vowed revenge some years before has escaped from prison and is after her."
428,"Garden State",gardenstate.jpg,2004-07-28,102,"Andrew Largeman is a semi-successful television actor who plays a retarded quarterback. His somewhat controlling and psychiatrist father has led Andrew (""Large"") to believe that his mother's wheelchair bound life was his fault. Andrew decides to lay off the drugs that his father and his doctor made him believe that he needed, and began to see life for what it is. He began to feel the pain he had longed for, and began to have a genuine relationship with a girl who had some problems of her own."
429,"Reign Over Me",reignoverme.jpg,2007-03-23,124,"Alan Johnson has everything he needs to get through life: a good job, a beautiful and loving wife, and their wonderful children. Yet he feels isolated because he finds having a hard-working job and managing a family too much to handle and has no one to talk to about it. Charlie Fineman, on the other hand, doesn't have a job or a family. He used to have both until a terrible loss, and the grief caused him to quit his job and isolate himself from everyone around him. As it turns out, Alan and Charlie were roommates in college, and a chance encounter one night rekindles the friendship they shared. But when Charlie's problems become too much to deal with, Alan is determined to help Charlie come out of his emotional abyss."
430,"Delta Farce",deltafarce.jpg,2007-05-11,90,"When three small town National Guardsmen bound for Iraq are unknowingly dropped into Mexico, their confusion leads them to ""liberate"" a small village from a band of corrupt Federales."
431,"Knocked Up",knockedup.jpg,2007-06-01,133,"When Alison Scott is promoted in E! Television, she goes to a night-club to celebrate with her older married sister Debbie. Alison meets the pothead reckless Ben Stone and while having a small talk with Ben, Debbie's husband Pete calls her to tell that their daughter has chicken pots. Debbie leaves the place but Allison stays with Ben, drinking and dancing along all night; completely wasted, they end up having a one night stand. Ben does not use condom and eight weeks later, Allison discovers that she is pregnant. She calls Ben and they decide to try to stay together and have the baby. However, Ben needs to grow-up first to raise a family of his own."
432,"Shrek the Third",shrekthethird.jpg,2007-05-18,92,"When Fiona's father and King of Far Far Away passes away, the clumsy Shrek becomes the immediate successor of the throne. However, Shrek decides to find the legitimate heir Artie in a distant kingdom with his friends Donkey and Puss in Boots to be able return to his beloved house in the swamp with the pregnant Fiona. Meanwhile, the envious and ambitious Prince Charming joins the villains of the fairytales plotting a coup d'&Atilde;&copy;tat to become the new king."
433,"Contract, The",contractthe.jpg,2007-07-24,96,"The widower teacher and baseball and basketball coach Ray Keene lost his wife that died of cancer two years ago. When his teenage son Chris Keene is caught by the police smoking pot, Ray invites him to hike and camp in the woods to increase their bonds. Meanwhile, the mercenary assassin Frank Carden is arrested by FBI after a car accident in the middle of a contract to kill an important target. While Frank is traveling on the road escorted by three FBI agents, his men try to rescue him, but his car falls into a river and is carried by the drift. Ray helps the wounded agent and the cuffed Frank to leave the river, and feels responsible to deliver Frank to justice. The former policeman and stubborn Ray does not listen to Frank's proposal to leave him alone and travel through the woods with Chris, trying to find a safe place. But Frank's men and an undercover agent in the team are chasing the group with different lethal intentions."
434,"Fantastic Four",fantasticfour.jpg,2005-07-08,106,"Reed Richards is a brilliant scientist who along with friend, muscle-man Ben Grimm seeks funding for a experimental space mission to study cosmic radiation, from rich and powerful businessman Victor Von Doom. Agreeing, Victor sets up a space station in orbit around Earth for Richards to begin his experiment. Joined by cocky Johnny Storm and his sexy sister, Reed's ex girlfriend Susan who is Victor's girlfriend, Reed and Ben arrive on the space station to begin the experimental space mission, which goes wrong, when they exposed to a cosmic radiation which alters their D.N.A. Returning to Earth, they find the cosmic radiation has given them superhuman powers. But the disaster of the space mission has caused Victor to go bankrupt and he vows vengeance on Reed, where he bids for world domination and sets out to get unleash hell by using his powers by controlling electricity that are slowly turning his skin into metal. With Victor out for vengeance and world domination, Reed, Ben, Susan and Johnny combine their super-powers and become a team of super heroes known as ""The Fantastic Four"" and are the only ones who can defeat Victor Von Doom and foil his evil plans."
435,"The Bourne Ultimatum",bourneultimatumthe.jpg,2007-08-03,115,"Bourne is once again brought out of hiding, this time inadvertently by London-based reporter Simon Ross who is trying to unveil Operation Blackbriar--an upgrade to Project Treadstone--in a series of newspaper columns. Bourne sets up a meeting with Ross and realizes instantly they're being scanned. Information from the reporter stirs a new set of memories, and Bourne must finally, ultimately, uncover his dark past whilst dodging The Company's best efforts in trying to eradicate him."
436,"Die Hard with a Vengeance",diehardwithavengeance.jpg,1995-05-19,131,"John McClane is now almost a full-blown alcoholic and is suspended from the NYPD. But when a bomb goes off in the Bonwit Teller Department Store the police go insane trying to figure out what's going on. Soon, a man named Simon calls and asks for McClane. Simon tells Inspector Walter Cobb that McClane is going to play a game called ""Simon Says"". He says that McClane is going to do the tasks he assigns him. If not, he'll blow off another bomb. With the help of a Harlem electrician, John McClane must race all over New York trying to figure out the frustrating puzzles that the crafty terrorist gives him. But when a bomb goes off in a subway station right by the Federal Reserve (the biggest gold storage in the world) things start to get heated up."
437,"Die Hard 2: Die Harder",diehard2dieharder.jpg,1990-07-04,124,"After the terrifying events in LA, John McClane (Willis) is about to go through it all again. A team of terrorists, led by Col. Stuart (Sadler) is holding the entire airport hostage. The terrorists are planning to rescue a drug lord from justice. In order to do so, they have seized control of all electrical equipment affecting all planes. With no runway lights available, all aircraft have to remain in the air, with fuel running low, McClane will need to be fast."
438,"From Hell",fromhell.jpg,2001-10-19,122,"It is 1888 in London, and the unfortunate poor lead horrifying lives in the city's deadliest slum, Whitechapel. Harassed by gangs and forced to walk the streets for a living, Mary Kelly and her small group of companions trudge on through this daily misery, their only consolation being that things can't get any worse. Yet things somehow do when their friend Ann is kidnapped and they are drawn into a conspiracy with links higher up than they could possibly imagine. The kidnapping is soon followed by the gruesome murder of another woman, Polly, and it becomes apparent that they are being hunted down, one by one. Sinister even by Whitechapel standards, the murder grabs the attention of Inspector Fred Abberline, a brilliant yet troubled man whose police work is often aided by his psychic abilities. Abberline becomes deeply involved with the case, which takes on personal meaning to him when he and Mary begin to fall in love. But as he gets closer to the truth Whitechapel becomes more and more dangerous for Abberline, Mary, and the other girls. Whoever is responsible for the grisly acts is not going to give up his secret without a fight....will they be able to survive the avenging force that has been sent after them from hell?"
439,Big,big.jpg,1988-06-03,104,"A young boy makes a wish at a fairground machine to be big. He wakes up the following morning to find that his wish has been granted and his body has grown older over night. But he is still the same 12 year old kid on the inside. Now he must learn how to cope with the unfamiliar world of grown ups including getting a job, and having his first romantic encounter with a woman. What will he find out about this strange world?"
440,"Blood of the Beast",bloodofthebeast.jpg,2004-06-22,74,"In the year 2012, the 3rd great war comes to an end. The war claims no victors, but both sides succeed in executing their chemical warfare campaigns. The result is over 3 billion deaths. Over ninety-eight percent of the male survivors are rendered sterile. Human reproduction is realized by means of cloning. The first strand of clones are harvested in December of 2012 and received with overwhelming success. It was not until nineteen years later that the first problems arose."
441,Halloween,halloween.jpg,2007-08-31,120,"In Haddonfield, Illinois, the nine years old Michael Meyers is raised by a dysfunctional family: his mother Deborah is a stripper in a night-club; his foster father Ronnie is an alcoholic bum; his sister Judith is a easy girl; and he is connected to his baby sibling. On October, 31st, after an incident in school where he is bullied by a schoolmate, Michael overhears the conversation of the principal and the psychiatric Dr. Samuel Loomis with his mother. They had found pictures of Michael torturing animals in his backpack and Dr. Loomis would like to send Michael for psychiatric evaluation believing that the boy is deranged. This revelation triggers Michael that escapes from the school and kills the bully, Ronnie, Judith's boyfriend Steve Haley and his sister Judith. Michael is held in custody in the Smith's Grove Sanatorium under the treatment of Dr. Loomis. Eleven months later, during the visit of his mother, Michael kills his nurse and his stressed mother commits suicide. Fifteen years later, Michael escapes from the mental institution leaving bloodshed behind, and heads to Haddonfield in the Halloween's night."
442,"Brothers Solomon, The",brotherssolomonthe.jpg,2007-09-07,93,"John and Dean Solomon may have Ph.D.s, but they're socially inept after their widowed father home-schooled them in Antarctica. When their beloved dad falls into a coma, they hatch a plan to revive him using a positive emotional shock - giving him a grandchild. They find a surrogate mom through Craig's list - she's Janine, a penniless local musician, with a large, intimidating boyfriend, James. The pregnancy gives the Solomons nine months to learn to be parents. In a side story, John pursues Tara, a neighbor who takes care of their dad when John and Dean are out; but she has no interest in John. Can the boys keep Janine and James happy, keep dad alive, and learn to be dads?"
443,"Eastern Promises",easternpromises.jpg,2007-09-21,100,"The mysterious and charismatic Russian-born Nikolai Luzhin is a driver for one of London's most notorious organized crime families of Eastern European origin. The family itself is part of the Vory V Zakone criminal brotherhood. Headed by Semyon, whose courtly charm as the welcoming proprietor of the plush Trans-Siberian restaurant impeccably masks a cold and brutal core, the family's fortunes are tested by Semyon's volatile son and enforcer, Kirill, who is more tightly bound to Nikolai than to his own father. But Nikolai's carefully maintained existence is jarred once he crosses paths at Christmastime with Anna Khitrova, a midwife at a North London hospital. Anna is deeply affected by the desperate situation of a young teenager who dies while giving birth to a baby. Anna resolves to try to trace the baby's lineage and relatives. The girl's personal diary also survives her; it is written in Russian, and Anna seeks answers in it. Anna's mother Helen does not discourage her, but Anna's irascible Russian-born uncle Stepan urges caution. He is right to do so; by delving into the diary, Anna has accidentally unleashed the full fury of the Vory. With Semyon and Kirill closing ranks and Anna pressing her inquiries, Nikolai unexpectedly finds his loyalties divided. The family tightens its grip on him; who can, or should, he trust? Several lives - including his own - hang in the balance as a harrowing chain of murder, deceit, and retribution reverberates through the darkest corners of both the family and London itself."
444,"Resident Evil 3: Extinction",residentevil3extinction.jpg,2007-09-21,95,"Years after the Raccoon City disaster, Alice is on her own; aware that she has become a liability and could endanger those around her, she is struggling to survive and bring down the Umbrella Corporation led by the sinister Albert Wesker and head researcher Dr. Isaacs. Meanwhile, traveling through the Nevada Desert and the ruins of Las Vegas, Carlos Olivera, L.J., and new survivors K-Mart, Claire Redfield, and Nurse Betty must fight to survive extinction against hordes of zombies, killer crows and the most terrifying creatures created as a result of the deadly T-Virus that has killed millions."
445,"Last Legion, The",lastlegionthe.jpg,2007-08-17,102,"Circa 460 A.D. Mira was born in a warrior-family in Kerala, India, was well versed in martial arts and self-defense, so much so that she was recruited by the Spanish royalty and re-located to Constantinople. From there she was instructed to assist Roman Commander Aurelius to plan the escape of 12-year old Romulus Augustus Caesar from a prison in Capri after his parents had been killed by the leader of the Alliance in turmoil-stricken Rome that has seen the deaths of five emperors in five years. Mira, Aurelius, and a Priest, Ambrosinius, along with a handful of loyal soldiers were successful in the escape plan and deliver Romulus to Roman Senator Nestor. What the crew do not realize is that their task is not over yet, for Nestor is all set to betray Romulus, leaving them with no alternative but to flee to Britannia, where they will be forced to confront a seemingly invincible Vortygn, whose main aim is to obtain a powerful sword that was meant for defense and defeat, and also ensure the death of Romulus at any and all costs."
446,"Wild Hogs",wildhogs.jpg,2007-03-02,100,"Four middle-aged men decide to take a road trip from Cincinnati to the Pacific in order to get away from their lives which are leading them nowhere. Taking their motorcycles, these ""Wild Hogs"" tear up the road and eventually stop in New Mexico for a drink not knowing that the bar belongs to the ""Del Fuegos"", a mean biker gang. When the Del Fuegos steal a bike that belongs to the Wild Hogs, the four men form a plan to steal their bike back."
447,"A League of their Own",aleagueoftheirown.JPG,1992-07-01,128,"In the farm of Oregon Dottie Henson and Kit Keller are working on the farm. Sisters that do love each other, except when it comes to baseball. Kit wants to play in the league but is upset to hear that it is Dottie who is chosen to play for the AAPGL. (All American Pro Girls League) Dottie refuses to play unless Kit can come along. AAPGL was only made because of the World War II and all of the man were in the war. Along the way to the stadium they meet Marla Hooch who is a great hitter, but to most people not the prettiest girl. When they are going to try out they meet Doris and Mae because Doris threw a baseball at Dottie who caught it impressing Doris. They girls find out their new manager is Jimmy Dugan. Jimmy Dugan drinks a lot and is the worst manager until Dottie get through to him and he becomes a better person. Miss Cuthbert makes sure the rules are followed, no boys, no drinking or smoking until Mae poisons her meal. The girls go to party and Marla who had been overlooked a lot is noticed by a guy named Nelson. Dottie's husband Bob is in the army and when news comes that a man in the army has been killed it turns out to be Betty Spaghetti. After awhile, Kit feels that once again like at home she is behind Dottie's shadow. Dottie notices it to and asks to be transferred to another team. Of course Mr. Lovitz doesn't want the best player to be transferred so he has Kit transferred to Racine. Kit feels that Dottie did this on purpose. Kit plays for the Racine while Dottie plays for Rockford. In the final scene Dottie is crashed into by Kit and she drops the ball, letting Racine win, making Kit have her own stardom instead of being in Dottie's shadow. The girls have a reunion and they remember the fun they had together."
448,"Balls of Fury",ballsoffury.jpg,2007-08-29,90,"In the unsanctioned, underground, and unhinged world of extreme Ping-Pong, the competition is brutal and the stakes are deadly. Down-and-out former professional Ping-Pong phenom Randy Daytona is sucked into this maelstrom when FBI Agent Rodriguez recruits him for a secret mission. Randy is determined to bounce back and recapture his former glory, and to smoke out his father's killer - one of the FBI's Most Wanted, arch-fiend Feng. But, after two decades out of the game, Randy can't turn his life around and avenge his father's murder without a team of his own. He calls upon the spiritual guidance of blind Ping-Pong sage and restaurateur Wong, and the training expertise of Master Wong's wildly sexy niece Maggie, both of whom also have a dark history with Feng. All roads lead to Feng's mysterious jungle compound and the most unique Ping-Pong tournaments ever staged. There, Randy faces such formidable players as his long-ago Olympics opponent, the still-vicious Karl Wolfschtagg. Can Randy keep his eye on the ball? Will he achieve the redemption he craves while wielding a paddle? Is his backhand strong enough to triumph over rampant wickedness?"
449,"Good Luck Chuck",goodluckchuck.jpg,2007-09-21,101,"In order to keep the woman of his dreams from falling for another guy, Charlie Logan has to break the curse that has made him wildly popular with single women: Sleep with Charlie once, and the next man you meet will be your true love."
450,"Lookout, The",lookoutthe.jpg,2007-03-30,99,"An admired high school hockey player (Joseph Gordon-Levitt) with a bright future foolishly takes a drive in the night with his girl friend and two other friends with his headlights off with devastating results. The former athlete is left with a brain injury that prevents him from remembering many things for extended periods of time. To compensate, he keeps notes in a small notebook to aid him in remembering what he is to do. He also lives with a blind friend (Jeff Daniels) who aids him. Obviously, with the mental incapacitation, he is unable to have meaningful work. Thus he works as a night cleaning man in a bank. It is there he comes under the scrutiny of a gang planning to rob the bank. The leader (Matthew Goode) befriends him and gets him involved with a young woman (Isla Fisher) who further reels him in. After they get close and after reeling him in with his own failures, the bank plan unfolds. Confused but wanting to escape his current existence, he initially goes along with the scheme. After realizing he is being used, he attempts to stop the robbery, which of course immediately goes awry. Bruce McGill and Alberta Watson also co-star as the young man's parents, who still search for the person that was there before the tragic crash."
451,"Last Kiss, The",lastkissthe.jpg,2006-09-15,115,"Michael and Jenna, having been a couple for three years, want to get married and start a family. These plans seem to be well on their way when Jenna announces that she's pregnant. But Michael is worried that his life and his youth will over for good. At a wedding of a friend, he meets a free-spirited college co-ed, Kim, who opens his eyes and leads him on a dangerous path away from Jenna. Meanwhile, none of the relationships of the people surrounding Michael and Jenna are happy and stable. Michael's friend Izzy is unwilling to let go of his childhood sweetheart Arianna; Kenny is a handsome stud who fears commitment to his latest conquest Danielle; and Chris is a co-worker who is dominated by his neurotic and overbearing wife over raising their newborn son. Even Jenna's parents, Stephen and Anna, are experiencing problems in their long-suffering marriage."
